[-1107.7644242981999, 525.66822326773]
[-1082.2031850592643, 541.5462610734206]
[-1074.8989748320155, 546.5201642125148]
[-1059.027700734679, 562.0666788252822]
[-1052.544551018724, 560.0281869891486]
[-1044.6492014812711, 562.4418397866568]
[-1007.1606228821794, 583.1930360959593]
[-972.5922654903092, 603.922895553268]
[-954.5574663649196, 612.5346116859627]
[-868.004638031449, 666.2474474420214]
[-863.0293689137537, 668.8511963694145]
[-855.166227654139, 674.4486893172564]
[-855.166227654139, 674.4486893172564]
[-850.8085311448626, 678.2658615754541]
[-829.0473585540335, 690.7732832117747]
[-796.9449666070107, 712.9742274407422]
[-775.2744535830957, 729.5781823485603]
[-757.5971309822792, 744.5243572094457]
[-744.1667468063375, 756.6105830871882]
[-725.0192088400356, 776.4988749297238]
[-720.6158585344748, 782.4756067365329]
[-713.3562311863207, 798.4587988708424]
[-703.2456060039761, 832.9304009571466]
[-700.4022904919236, 843.5156874036029]
[-695.7522102775748, 847.6668977076454]
[-671.3642870570268, 866.2188862669507]
[-627.4664244434107, 900.3296397786593]
[-591.6658551300342, 927.4292287086512]
[-573.4763562744189, 941.0403135179249]
[-566.875363912714, 948.0298546552339]
[-430.86229777624976, 1210.0312380120774]
[-214.4904205016209, 1165.3132989438002]
[-74.17229285723187, 1110.5992668648205]
[7.568831294728255, 1051.6703560147005]
[138.1368539853714, 863.0439677891807]
[258.26704045180935, 759.8745557603718]
[345.5335337056531, 782.4765287010852]
[380.080806805379, 808.759900230921]
[415.26664391223756, 816.3655252460342]
[444.0227809776253, 807.0180557457527]
[638.9423035695232, 582.9377203532824]
[658.8619665313012, 578.2320652549637]
[671.6609780156455, 572.0672684728818]
[675.2768938059075, 570.809980285125]
[685.7207006279056, 572.1138738292589]
[704.2151626931975, 574.6545772974108]
[718.6712596484006, 576.6604258259135]
[832.6361870165872, 587.7217963982318]
[851.1238260643266, 591.2092384098546]
[863.5050948001349, 594.4284536405733]
[884.8795571207539, 600.4656082465578]
[905.8506852616357, 606.9480286188384]
[913.7384060844762, 609.4318386288718]
[917.5294380939022, 610.6904148620866]
[932.9720350606043, 621.3349045541606]
[930.0231958651309, 603.8695402554004]
[929.0294172835846, 597.9920947645886]
[928.7371305713323, 596.2555770977057]
[928.5989272141559, 572.2345408515968]
[929.7846264859094, 561.7158505038783]
[933.1518239242874, 536.7493802481026]
[933.6735886131761, 529.325014114946]
