[-1107.7644242981999, 525.66822326773]
[-1101.5433480021238, 515.4038110660408]
[-1056.6348176682027, 419.78786602782543]
[-983.8700228575275, 142.52840444925357]
[-998.3685629937098, 134.51711942407601]
[-995.0525668105647, 40.40264756434162]
[-986.1918399133152, -38.89746572377871]
[-999.3547031664931, -63.28292951060865]
[-991.4396965226913, -65.03223517000428]
[-930.8647523547819, -146.19088386727753]
[-800.8979717719284, -325.40435168171484]
[-735.6670133693606, -416.01152693112317]
[-554.8409927092339, -626.6935088956809]
[-541.201592043691, -636.7910672729265]
[-388.5119792020845, -845.8267394974871]
[-345.16866825836144, -850.1490800333427]
[-314.8617443514448, -857.0525544619816]
[-276.9825894080089, -861.5297080220419]
[-239.92298988071764, -865.62804791689]
[-160.17024666823735, -877.4193810808423]
[-143.91393797554204, -880.8037800825732]
[-121.9851209151444, -885.3347810630181]
[-87.78100801380995, -891.5801208112418]
[-70.67891912950438, -894.8640962480688]
[-53.9020648474815, -898.0812173882721]
[-39.55813531719366, -901.6210592619136]
[-18.162542640798762, -906.1070346892577]
[-9.861899640198928, -907.6320232946787]
[3.480289473760749, -909.8359940540455]
[19.80838936931619, -912.807961257284]
[27.491060314919622, -914.1881803438393]
[57.88351874911038, -919.7311945134843]
[65.07832412754517, -921.3673724896485]
[79.84525642601135, -924.7843925625741]
[109.60684851099731, -930.6944018030003]
[119.46885279658042, -932.8090680257824]
[139.29047452747457, -937.2720873627507]
[216.5150000349737, -951.4390057290179]
[292.25075337521076, -972.8733386764864]
[299.40008828851603, -972.9730576992928]
[312.7880271450196, -973.3283601538674]
[314.32328422465656, -973.4061730401669]
[352.95826983975155, -973.2030030202814]
[394.52712095664543, -972.7321094179629]
[401.31220957592245, -973.3882568021443]
[412.24127543684364, -975.1126109117022]
[421.0431257431239, -976.9707081241702]
[427.05414951114625, -978.239099871658]
[445.30228892864665, -985.8844424642352]
[460.0245933009692, -993.474411719634]
[482.0918123198761, -1004.2359360112569]
[518.0944634423544, -1022.44251845814]
[544.774471671673, -1034.8283605231716]
[563.5305958739414, -1043.630807959591]
[567.5186616578927, -1045.6784417382298]
[584.9868221706399, -1054.6479272115025]
[591.7919315062835, -1058.0643070570068]
[598.6946876057862, -1061.9036464620197]
[604.0426006035855, -1065.3201980404094]
[598.3270091441686, -986.1453140219076]
[593.8736396275242, -907.0815613164102]
[608.3560456531, -871.6604429023844]
[667.2338154010993, -779.2305666157247]
[678.2173466171588, -755.8090770856568]
[682.8603592858743, -745.3673964157475]
[691.7106354826703, -725.4524937968905]
[696.6462091570786, -714.3540183599293]
[699.9037016002388, -704.6471840405181]
[703.499276781384, -693.9051010492233]
[723.0308371629261, -635.6417670976352]
[734.4806711943971, -603.3930829571578]
[738.466653132086, -594.3984948318415]
[744.7609251714514, -579.9715402944157]
[759.6526630945244, -555.0242482719817]
[765.6678391886462, -544.9495802205112]
[799.1658943338272, -501.10949509158775]
[823.2729122986945, -469.5596208663869]
[824.8985813000629, -466.8989896394697]
[826.4332123414189, -464.39420999601737]
[837.1560690173483, -446.86074141184724]
[844.6015450984178, -434.6819239254496]
[852.1768570250324, -421.3454327977887]
[855.337018634144, -415.7904122025197]
[857.0211385630863, -412.8514802886972]
[872.8413544881979, -385.2321701015484]
[881.3919392562904, -370.69328219924205]
[889.0776677175053, -357.63498578480807]
[897.7842030996079, -342.82888938998394]
[907.5635452310454, -326.1970588900702]
[914.8396957289981, -314.87525552245734]
[916.6928072570169, -311.70251382350466]
[921.2445867629855, -305.34572725221807]
[924.6713550537371, -300.24698062241475]
[926.1539489327145, -298.27647165139433]
[928.358577782519, -296.5729632110911]
[930.7714930108853, -295.60406596683947]
[936.488592277846, -294.53431385463705]
[942.4403276812382, -295.8131746603896]
[954.0052420889701, -296.7346675485401]
[959.332346820827, -296.956179043204]
[972.1004866209843, -297.47665384119944]
[972.710379662112, -290.3303396056627]
[973.5076842946264, -277.473716049303]
[973.8253134816534, -272.37559131091723]
[974.1818353869041, -266.6541149911362]
[974.5512987665697, -260.6209642115457]
[976.4958140586144, -228.8077810721883]
[977.3773131038947, -214.3593860604466]
[978.6739239337608, -194.51230356804814]
[979.2186821473382, -187.04319845385254]
[980.3153968413291, -175.37753881367746]
[980.5813801784881, -172.16058503983635]
[980.6657534880933, -171.31460102636382]
[981.15884150543, -165.57083182655927]
[982.9850488202354, -128.40359222928782]
[983.0167820859886, -124.73031187144981]
[983.2965814252626, -94.96560420586422]
[981.4188673686511, -43.32868063242219]
[980.987247361231, -32.30895083265793]
[980.4776343167215, -21.534122428712173]
[980.0400878761321, -13.19699671938207]
[979.3817064912422, -6.251309777102794]
[977.6149269391561, 13.51720755770376]
[975.5744291385915, 35.968271382056216]
[971.9862517924829, 57.40607531643973]
[970.5731301076394, 65.85430761135892]
[968.4246379202167, 76.40616969562109]
[966.3091671135699, 84.62050144877415]
[965.1038974729536, 94.43790925266279]
[962.5578412446121, 109.08594889057488]
[960.5211539893929, 144.95004275334503]
[960.2469956675628, 149.73637405912075]
[958.142300853026, 199.99301744148949]
[954.193429343756, 268.0924963417564]
[950.7445810925889, 308.9653220684743]
[948.7502864992441, 329.40168099641824]
[946.5864426133932, 352.1532835153278]
[938.508646660324, 418.3596469467111]
[937.7660173290001, 424.4704914857605]
[935.1167457246734, 436.3357470711297]
[935.0185084653334, 439.70846287127597]
[934.7223023542416, 457.16203240765935]
[934.261530619474, 484.3664493149507]
[934.188564151792, 491.3901851681541]
